"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"yfbK",263182,45498,296449,106555,295048,113364,232817,70383,269297,105887,131036,21163,110916,70547,183188,49838,353601,213547,223730,35932,149152,22217,205088,52360,265625,66321,83830,47508,193576,64747,154482,93879,273238,159611
"emrY",77561,22779,205272,99526,97982,39338,46929,23348,46696,17981,35948,7167,21878,10420,106469,31863,107997,30264,100693,15090,87569,16908,77619,10739,201544,98557,91360,45066,19948,11930,61854,29055,29181,13972
"pphC",178879,25246,69250,25848,46229,15894,40598,14875,68146,21821,71887,9496,119403,29028,161941,42536,240094,64529,169392,24449,122023,20794,160355,30270,193320,62172,112441,45290,240840,170410,93501,37162,146621,53558
"setB",149643,33518,101072,20860,112178,19851,72992,19506,166582,23089,104072,14299,123263,18397,180673,31355,459541,112815,291381,48599,214061,30092,243657,24076,212611,53595,149137,56384,217078,72410,201275,41245,169848,73002
"elaB",1643534,574758,1000142,237974,714990,74317,564697,120833,1372909,279311,378304,132570,1103734,423223,1233037,134633,1663094,1309420,3320925,693376,1952805,730370,1206506,75075,811207,817742,1269837,295656,930568,611345,1528421,131434,336639,1013265
"yfdT",132065,28586,82707,26331,85348,14754,65997,21562,101662,26398,81278,13862,54325,10659,95208,17300,262564,48157,226211,28461,155729,22363,149108,19831,146284,30763,139015,45410,88875,25052,98776,35661,119620,43757
"hyfE",165395,56052,126681,41583,89858,32671,94337,40406,140378,36276,102341,30652,29099,15410,110601,26527,236190,58626,252659,55602,153070,42415,179629,64934,104664,43925,181200,58472,109166,72984,94739,27016,119332,108286
"patZ",641919,70793,486291,121545,284473,200443,260898,85727,297384,63840,181034,44692,29222,12668,266432,46105,426644,129135,826032,232338,975051,336490,1050695,137098,407692,377299,445730,170763,740705,284130,629481,242285,433916,250203
"gshA",1106246,256872,761857,228916,1035622,413516,508000,302607,761736,204825,548457,201162,50699,28361,1042400,160128,970103,446170,1168864,425727,1513864,596099,1433058,245813,638171,663100,823306,318188,700673,539099,1098757,247924,526396,548383
"gudP",109753,30765,73440,21148,61389,65053,107778,31770,71091,39476,113223,17174,2699422,1321174,73366,36737,339378,76600,148052,33187,131645,32000,165632,66017,144757,29066,111040,78511,153966,19398,63289,48188,91321,32004
"hyfA",119377,25026,92661,25532,87309,29644,73201,39478,79115,18122,111259,16505,1244550,860464,130630,23206,272490,59046,229626,36605,195331,23744,199600,57736,140125,25277,155815,62885,145687,19153,56873,19986,110919,46697
"ung",422293,115109,290937,64797,312794,165109,406603,93992,310172,126271,549832,93002,1002272,588676,437676,190608,1498888,352634,495439,167121,438963,115888,798452,315153,513824,188251,303378,212769,673846,260320,324376,215025,415862,227113
"mprA",453739,103115,238936,47064,367062,107611,231059,53594,253853,197931,731148,88475,1984285,851862,574003,213352,1709070,392580,410062,114603,466025,100062,679060,179461,522582,196182,253757,210871,697594,244234,329919,301899,513270,250500
"relA",1099589,209230,856775,243830,974587,247740,625951,175248,1020633,385480,573358,122903,910652,248790,712085,162749,1331506,387547,773602,205004,996266,249780,1447842,295282,823784,408065,706631,249939,808274,437074,722506,366136,543449,166408
"dapA",421919,113491,483799,79795,801883,309677,803234,80442,618574,366425,1483330,142820,46442,12406,939101,297426,3656381,600439,1032544,328255,1112866,237887,1102648,687964,2045599,313360,750665,708459,3000944,440924,1314389,718986,1657077,594854
"yfiC",101540,20472,150807,21586,156932,53947,181561,18800,149798,35788,152591,30690,32650,20788,206546,31752,575907,131320,251887,62166,277807,55604,246609,87123,303388,77716,131269,79674,334333,96877,238532,90000,200966,125303
"pyrG",683027,189707,510187,67564,874853,122639,445519,68501,690049,259195,840203,120895,431365,87018,639828,126947,1981177,574845,749347,228731,1283319,213797,1423354,386835,1033171,350661,721170,269739,1023835,314646,914148,431542,865979,312571
"ypfJ",513748,112656,329901,52283,351397,46130,206518,28578,402048,136099,316510,73819,404704,97240,360014,61569,918336,338845,606727,110287,630530,167958,621809,142903,413844,197122,345523,136644,534504,211866,468082,115304,366640,252126
"rseB",744138,317324,1046844,83393,863392,817432,2716933,37314,1007487,1009972,1511285,114367,1886502,140990,591325,359673,4201925,534677,813959,227051,917869,319393,771976,782954,2421827,304689,507605,1132756,3761399,349865,737645,644422,1574941,456386
"nrdF",171025,32019,155882,49739,149553,23101,89792,40223,154682,37622,68414,11283,60983,18805,111679,33857,437302,82993,168061,36113,172230,23150,151444,21582,78743,44796,443422,158439,121921,64650,217403,99430,177476,67219
"ygcE",162173,29936,93778,14461,108974,23771,61803,15491,134794,51023,126209,9562,180106,21701,155284,36707,479114,77770,455937,85382,244628,44512,209326,20627,202118,56261,169107,92746,301797,55689,150296,91470,291372,59509
"yffB",734436,239387,525301,121975,400415,91876,603095,81597,714467,352332,487591,69259,862269,148993,521991,175379,1888998,546742,710660,188417,637167,173162,580384,90322,494670,216146,671499,368736,871425,241519,845535,374412,736765,352347
"rnc",792154,416520,925134,113110,1087012,261449,1307108,155605,1462590,466217,1213884,328103,1217930,359127,1137422,274738,3525162,1251353,1123045,283556,1360251,374838,690348,177207,1382776,360495,690176,579622,1764688,318549,967994,236384,545037,541695
"ygaM",2909993,720858,1766256,796176,2653198,995459,1148784,656074,1299385,437153,1071835,420258,39356,17718,1260712,194018,1140781,780727,3794740,817392,2555450,1381219,3049828,776655,1454484,1874969,1430085,397617,1391563,1018565,1457557,251572,401885,687463
"nudK",145736,32040,129703,30223,139933,52763,98741,27020,133533,29384,127669,27690,33429,15111,152636,39428,301376,87701,241381,57146,222204,33988,208058,55032,157585,51386,118219,62739,221375,69834,157634,74629,174176,95382
"yfhL",288990,121565,296978,48871,284075,633454,715035,87188,342608,104701,213930,85585,51845,20103,313871,59259,417916,192543,351386,91050,339992,98913,381900,145265,351784,128907,241045,160364,476513,221766,305194,117849,211599,205444
"ygaP",190679,50700,165912,48464,172145,74549,133865,31354,151181,53386,257808,31893,602408,423303,222367,49145,400554,117389,285621,56302,235705,63726,331738,94404,241666,59716,152071,127305,482072,129173,153210,91296,292888,128959
"ygcP",291853,60692,334337,172200,208493,65367,172969,118705,292256,100911,249027,60160,895451,501638,255244,63306,550817,224473,432323,102531,350523,95373,883707,461774,235684,88775,477559,311987,891649,391984,397924,196748,750965,464203
"dsbC",820699,275169,512292,106572,708546,437579,881300,128305,501618,307479,955140,170443,694018,397256,706924,230201,2055375,475209,792554,228734,676435,171742,925388,353595,858268,266387,685402,415053,1359129,493414,637530,403672,854051,528229
"hybD",188499,29946,117991,22491,100961,28722,95771,20409,139845,31011,145681,21879,457559,115676,165075,22517,399357,76330,307322,52701,266239,49786,315016,45491,226880,52584,94654,29577,118945,44048,112723,33834,133685,38049
"mlaB",387015,69140,991241,442861,843002,225315,509843,235659,532388,234484,465470,71973,706779,241441,497159,91710,993443,241135,679527,131586,729450,170054,1307177,362253,484767,190786,415743,175021,2577235,1121861,607397,281573,743677,325714
"idi",461999,78116,313241,89737,272028,44936,158876,47690,210259,38506,148147,42631,7689429,1723678,263582,39877,470947,177287,440994,74147,486587,184791,537244,89659,224789,140241,370736,124002,290171,205402,342930,108949,264714,161358
"gss",288874,66126,145088,22714,192961,35546,104474,22236,194159,68744,247641,39236,12200000,1365283,177990,36445,595643,113574,320594,69845,299561,55772,300379,80007,355801,107798,250406,147784,465358,110561,369433,123658,349080,171903
"sstT",555127,93733,203646,38068,243452,24106,84982,23642,253925,28702,111946,40019,15400000,1734240,270940,16009,318504,180625,656393,95092,536893,124374,570912,32568,202135,212405,445118,40777,132180,183586,398270,36325,176848,178667
"ispB",619608,313525,406191,46366,819325,142368,491908,38049,1045811,292139,580242,146954,775433,79887,672212,130828,1506478,519150,737357,200334,901042,208354,936402,330245,813357,297206,418351,276800,1321490,358362,586351,166365,507332,325433
"yghR",121170,40561,131036,43727,65073,17391,53769,12978,119444,36888,65336,13975,97489,28098,277183,97802,289354,90328,210062,29721,167751,42275,159849,17264,124687,50429,292390,145455,297343,92445,234404,71380,178970,94228
"ygjP",233683,67885,465380,154143,193105,49600,229977,55357,301564,100686,126376,24090,186254,62700,223119,52772,593736,172215,320275,50267,271800,78776,319963,55274,205757,83767,725052,279079,391163,118321,643198,283569,575990,328778
"obgE",231072,54630,153626,47641,181069,29443,129752,41103,239420,101016,257853,41529,134851,25032,176316,31586,554699,154508,257858,57276,341456,56239,343051,52640,256995,101503,457094,187134,338890,93584,519893,209354,358506,134682
"xdhD",94179,41721,68083,24764,56565,24971,57194,19842,75539,24630,111018,17529,551795,136772,104274,21497,240223,54504,66400,22742,153510,29917,172030,48519,125718,42202,133903,63405,167112,65757,106445,66698,202404,84037
"glcD",828183,341510,1008006,246888,992488,305892,393792,308879,688310,60876,200065,193908,435273,95599,719671,77860,560985,357113,946284,563830,2210824,340306,1471519,263104,535551,693566,468440,153259,546153,417147,708920,64041,217881,385224
"fadH",443918,52411,175110,88358,249406,170891,214406,77376,229150,25545,137755,62763,496377,109990,209276,36941,424951,89034,714440,212851,776683,272177,731485,123771,297378,241371,250071,91793,345669,180860,374315,74077,162189,174175
"rlmE",2604951,715455,1685053,448234,3004380,3502772,4430041,853370,2104138,1734857,4053811,378491,34333,15017,2394626,686746,4171084,1082992,3000459,622560,2309775,918837,2670075,1581472,3351159,624852,1336651,1815895,6568557,1062542,2080587,1067508,1860236,1107866
"mocA",267132,66753,174402,54419,122323,59937,134047,38089,144877,34973,148546,31440,221041,98635,164027,27521,322123,157669,587842,94017,306180,182578,586127,200630,196994,120545,143792,61097,176224,110287,86575,34778,118355,57381
"glcA",221536,52369,192372,38240,179083,45227,89599,39560,137416,21193,75100,31156,1264515,820955,125637,13219,193795,77670,395052,106355,443660,111974,348665,80657,281103,89742,200800,87534,202370,105265,193172,30676,104863,97764
"ebgC",181402,23820,106133,19879,100194,20258,78392,15575,134755,18714,107149,19136,1035892,524309,118818,20478,302784,59379,289666,25026,217178,38343,265844,42449,161211,34106,91436,30239,115507,34232,101315,30903,145083,62303
"secG",1127491,330830,1162910,252592,1326641,988186,1518316,157756,1721730,467389,1195936,428124,30456,12140,1868864,413161,3086499,1372671,1777566,550857,1607075,485241,2185593,620690,1789436,799849,1762932,901055,3233778,1384792,3158449,1130828,1348455,1005241
"hyuA",145337,32995,145251,46633,85685,24993,88010,34288,105226,27842,95692,21630,156757,40861,136519,19004,413547,123661,270338,65514,227236,51467,361649,112018,188624,45441,634801,317895,370159,131359,236778,108183,334248,161304
"yghG",205011,44531,133071,28803,138046,31436,86628,21713,150422,36902,110703,22703,15600000,2126646,131181,29287,365465,71365,313256,61754,201530,35722,248946,50231,235947,78735,246586,115679,113167,38125,91032,30940,149166,47101
"patA",871869,181963,449958,84603,542518,88831,329649,58379,411469,67566,331449,102588,55350,16989,513618,68466,875740,396571,1105423,261201,856512,292890,894266,242617,578375,305173,664089,197496,584546,324305,759201,121615,308875,346881
"nusA",2725191,897169,1387836,288175,2770428,366090,1112172,196828,2605543,1572966,2969229,396543,6157203,712487,1708132,418028,4736364,2178518,1267496,622497,2231322,365032,3931460,963739,2504226,1851463,2299253,993200,3201740,1873610,1603192,1980077,2896897,824838
"rpoA",5676864,3917859,4275805,1308563,3735495,2640652,3276750,974392,5518705,5068924,5748329,1091688,1638454,177141,5287273,2269159,12400000,12200000,4325310,2659398,5978578,2506828,4830388,3627482,6402358,5778430,9428978,4880410,7864200,5973916,10100000,8250033,1.2e+07,4780414
"aroK",1658382,608409,785945,119846,1962217,366494,1265721,100552,1734544,555718,1751992,350655,2383011,521289,1638045,333621,4280914,1415871,1794277,568283,2036910,497135,2637440,1024064,2516788,854439,2373547,1439317,5744344,1375637,3328944,1078432,2722781,1669714
"selB",236232,62533,121769,31611,185625,25737,92276,25685,187247,78264,110144,11074,229963,45293,204544,40335,670258,144004,279173,53519,298208,45760,249866,36845,278569,98709,250517,102670,322826,73657,295779,111760,246634,70245
"mscL",4273404,1673989,2552635,667095,3928624,337737,1529174,530913,4105949,594904,565789,266139,1418812,877434,3349236,310440,4649085,3581592,4288196,710510,3750565,1489788,5309722,587245,1376261,1618910,3759400,742883,2289538,1512442,4011969,983612,2210678,1688460
"gph",1003094,276027,457049,111759,736887,107507,545450,75631,985300,398133,1022651,208634,798835,152486,1123470,225523,2904378,1049936,881175,251870,1348616,351450,1131572,213104,1022190,503514,786090,415723,1161810,367238,990510,415897,1156593,704775
"rbbA",277304,65238,189515,73564,327983,83270,125077,102298,194248,79686,205531,49932,694765,144755,310390,63043,447044,175486,406007,124601,350735,103587,410929,71433,182063,177669,255977,63136,201745,164237,282490,136456,214282,171587
"yiaV",160060,42582,129193,21562,80107,34075,77630,24608,87801,26981,105486,13722,420545,97298,147722,35083,329372,59902,343896,41858,248934,57314,205294,35478,132929,32924,70460,24846,92356,34070,78994,25540,117230,51081
"def",1574618,489745,1108431,358244,1735675,1286005,1426572,552974,1516603,476234,1059923,379037,48829,20555,1752327,457142,2182484,912288,2044407,687246,2261308,905266,2157442,656214,1573381,928136,1062962,521894,1753405,899210,1485111,625650,748464,698471
"yhfX",113696,24828,74465,19694,72274,22069,63313,22476,74651,19603,82652,13490,22171,10402,127573,66042,302702,76100,177827,35113,159935,19882,171581,57862,117025,20204,51325,23445,99112,27304,54032,23787,105840,36044
"nikR",295682,55028,166869,45143,193073,42420,131203,38568,183155,35165,198776,60932,30625,14747,312504,53246,542184,239510,628186,145373,443554,138750,546348,90367,265584,144390,355148,95702,380662,235067,297650,99388,354160,287549
"sgbU",175435,16961,114713,22398,112619,25002,83535,20881,109859,30038,121802,19700,2234090,370084,150286,29778,356916,82780,322120,49622,264705,49308,261380,57059,175301,63712,293813,98722,147908,81299,147243,67745,189407,87792
"yrdD",1369265,370093,754741,211177,945416,736632,1162183,137905,937739,274333,927648,292310,472968,174956,1206646,324912,2094394,807415,1398609,378548,1250117,495220,2125981,419473,1019426,734457,898824,400738,1328164,819636,816984,496845,690743,496501
"yhfT",150784,23467,93609,17208,93406,20119,68333,16061,97335,34435,208555,23636,74456,21425,133346,29528,453873,78008,290878,51949,180891,31393,285284,43318,198860,61108,293400,121394,411064,94782,232388,130112,359711,85087
"nikB",154707,40019,410263,171677,299525,111896,180386,78239,176202,62480,119919,30083,125412,101533,171486,41026,507019,224257,221021,53223,184431,25730,352049,127347,155843,38715,196483,95676,769550,330688,150032,67665,244929,115105
"yiaN",107861,13802,75883,19608,58798,13841,45309,12350,74785,23470,65720,10763,93352,25989,61872,9253,190992,26139,174002,20343,122537,15451,125767,17440,103666,22151,77590,32642,160761,66350,133712,44919,226240,89216
